PATTERN: 0xff00
PING 202.141.80.14 (202.141.80.14) 56(84) bytes of data.
64 bytes from 202.141.80.14: icmp_seq=197 ttl=63 time=0.243 ms
64 bytes from 202.141.80.14: icmp_seq=198 ttl=63 time=0.239 ms
64 bytes from 202.141.80.14: icmp_seq=199 ttl=63 time=0.204 ms
64 bytes from 202.141.80.14: icmp_seq=200 ttl=63 time=0.202 ms
64 bytes from 202.141.80.14: icmp_seq=201 ttl=63 time=0.257 ms
64 bytes from 202.141.80.14: icmp_seq=202 ttl=63 time=0.231 ms
64 bytes from 202.141.80.14: icmp_seq=203 ttl=63 time=0.228 ms
64 bytes from 202.141.80.14: icmp_seq=204 ttl=63 time=0.238 ms
64 bytes from 202.141.80.14: icmp_seq=205 ttl=63 time=0.308 ms
64 bytes from 202.141.80.14: icmp_seq=206 ttl=63 time=0.237 ms
64 bytes from 202.141.80.14: icmp_seq=207 ttl=63 time=0.237 ms
64 bytes from 202.141.80.14: icmp_seq=208 ttl=63 time=0.260 ms
64 bytes from 202.141.80.14: icmp_seq=209 ttl=63 time=0.232 ms
64 bytes from 202.141.80.14: icmp_seq=210 ttl=63 time=2.64 ms
64 bytes from 202.141.80.14: icmp_seq=211 ttl=63 time=0.249 ms
64 bytes from 202.141.80.14: icmp_seq=212 ttl=63 time=0.136 ms
64 bytes from 202.141.80.14: icmp_seq=213 ttl=63 time=0.215 ms
64 bytes from 202.141.80.14: icmp_seq=214 ttl=63 time=0.243 ms
64 bytes from 202.141.80.14: icmp_seq=215 ttl=63 time=0.232 ms
64 bytes from 202.141.80.14: icmp_seq=216 ttl=63 time=0.241 ms
64 bytes from 202.141.80.14: icmp_seq=217 ttl=63 time=0.249 ms
64 bytes from 202.141.80.14: icmp_seq=218 ttl=63 time=0.255 ms
64 bytes from 202.141.80.14: icmp_seq=219 ttl=63 time=0.224 ms
64 bytes from 202.141.80.14: icmp_seq=220 ttl=63 time=0.237 ms
64 bytes from 202.141.80.14: icmp_seq=221 ttl=63 time=0.255 ms
64 bytes from 202.141.80.14: icmp_seq=222 ttl=63 time=0.242 ms
64 bytes from 202.141.80.14: icmp_seq=223 ttl=63 time=0.262 ms
64 bytes from 202.141.80.14: icmp_seq=224 ttl=63 time=0.229 ms
64 bytes from 202.141.80.14: icmp_seq=225 ttl=63 time=0.270 ms
64 bytes from 202.141.80.14: icmp_seq=226 ttl=63 time=0.246 ms
64 bytes from 202.141.80.14: icmp_seq=227 ttl=63 time=0.241 ms
64 bytes from 202.141.80.14: icmp_seq=228 ttl=63 time=0.247 ms
64 bytes from 202.141.80.14: icmp_seq=229 ttl=63 time=0.245 ms
64 bytes from 202.141.80.14: icmp_seq=230 ttl=63 time=0.229 ms
64 bytes from 202.141.80.14: icmp_seq=231 ttl=63 time=0.308 ms
64 bytes from 202.141.80.14: icmp_seq=232 ttl=63 time=0.249 ms
64 bytes from 202.141.80.14: icmp_seq=233 ttl=63 time=0.237 ms
64 bytes from 202.141.80.14: icmp_seq=234 ttl=63 time=0.228 ms
64 bytes from 202.141.80.14: icmp_seq=235 ttl=63 time=0.258 ms
64 bytes from 202.141.80.14: icmp_seq=236 ttl=63 time=0.210 ms
64 bytes from 202.141.80.14: icmp_seq=237 ttl=63 time=0.223 ms
64 bytes from 202.141.80.14: icmp_seq=238 ttl=63 time=0.232 ms
64 bytes from 202.141.80.14: icmp_seq=239 ttl=63 time=0.262 ms
64 bytes from 202.141.80.14: icmp_seq=240 ttl=63 time=0.231 ms
64 bytes from 202.141.80.14: icmp_seq=241 ttl=63 time=0.263 ms
